permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
nallatech,Nallatech,Hardware + Software,operating,GBR,01-01-1993,nallatech,venture,13-02-2006,5000000.0,Manufacturing
nanotech-semiconductor,Nanotech Semiconductor,Semiconductors,operating,GBR,01-05-2003,nanotech-semiconductor,venture,12-08-2008,5000000.0,Cleantech / Semiconductors
nanotech-semiconductor,Nanotech Semiconductor,Semiconductors,operating,GBR,01-05-2003,nanotech-semiconductor,venture,25-05-2005,6000000.0,Cleantech / Semiconductors
native-networks,Native Networks,Networking,operating,GBR,,native-networks,venture,18-07-2003,11500000.0,Others
naturalmotion,NaturalMotion,Games,acquired,GBR,01-01-2001,naturalmotion,venture,21-06-2012,11000000.0,Entertainment
navetas-energy-management,Navetas Energy Management,Clean Technology,operating,GBR,01-01-2008,navetas-energy-management,venture,07-06-2010,5790000.0,Cleantech / Semiconductors
neul,Neul,Internet of Things,acquired,GBR,01-01-2010,neul,venture,05-09-2012,5000000.0,"Social, Finance, Analytics, Advertising"
neul,Neul,Internet of Things,acquired,GBR,01-01-2010,neul,venture,29-06-2011,12800000.0,"Social, Finance, Analytics, Advertising"
neverfail,Neverfail,Software,operating,GBR,01-01-1993,neverfail,venture,20-01-2006,10000000.0,Others
new-earth-solutions,New Earth Solutions,Clean Technology,operating,GBR,01-01-2002,new-earth-solutions,venture,14-02-2008,5850400.0,Cleantech / Semiconductors
newvoicemedia,NewVoiceMedia,Enterprise Software,operating,GBR,01-01-2000,newvoicemedia,venture,28-05-2010,6300000.0,Others
